;ANALISIS HARGA SATUAN PEKERJAAN (AHSP) BIDANG CIPTA KARYA;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;HARGA SATUAN PEKERJAAN PERSIAPAN;;;;;;;;;
;(K3) Pembuatan 1 m2 pagar sementara dari kayu tinggi 2 meter;;;;;;;;;
;No;Uraian;Kode;Satuan;Koefisien;Harga Satuan;Jumlah Harga;;;
;A;TENAGA;;;;;;;;
;;;;JUMLAH HARGA ALAT;;;;;;
;D;Jumlah (A+B+C);;;;;Rp2.159.798,00;;;
;E;Overhead & Profit 9,5%;;;0,095;;Rp205.180,81;;;
PP8;F;Harga Satuan Pekerjaan (D+E);;;;;Rp2.364.978,81;8;;
;;;;;;;;;;
;(K3) Pembersihan  1 m2 lapangan dan perataan;;;;;;;;;
;No;Uraian;Kode;Satuan;Koefisien;Harga Satuan;Jumlah Harga;;;
;A;TENAGA;;;;;;;;
;;Pekerja;L.01;OH;0,1;Rp93.000;Rp9.300,00;;;
;;Mandor;L.04;OH;0,05;Rp111.000;Rp5.550,00;;;
;;;;JUMLAH TENAGA KERJA;;;Rp14.850,00;;;
;B;BAHAN;;;;;;;;
;;;;JUMLAH HARGA BAHAN;;;;;;
;C;PERALATAN;;;;;;;;
;;;;JUMLAH HARGA ALAT;;;;;;
;D;Jumlah (A+B+C);;;;;Rp14.850,00;;;
;E;Overhead & Profit 9,5%;;;0,095;;Rp1.410,75;;;
PP9;F;Harga Satuan Pekerjaan (D+E);;;;;Rp16.260,75;9;;
;;;;;;;;;;
;(K3) Pembuatan 1 m2 steger/perancah  dari bambu;;;;;;;;;
;No;Uraian;Kode;Satuan;Koefisien;Harga Satuan;Jumlah Harga;;;
;A;TENAGA;;;;;;;;
;;Pekerja;L.01;OH;1;Rp93.000;Rp93.000,00;;;
;;Tukang Kayu;L.02;OH;2;Rp98.000;Rp196.000,00;;;
;;Kepala Tukang;L.03;OH;0,2;Rp106.000;Rp21.200,00;;;
;;Mandor;L.04;OH;0,05;Rp111.000;Rp5.550,00;;;
;;;;JUMLAH TENAGA KERJA;;;Rp315.750,00;;;
;B;BAHAN;;;;;;;;
;;Bambu diameter 6 - 8 / 600 cm;M.73; Batang ;1,25;Rp27.900;Rp34.875,00;;;
;;Tali ijuk;M.419; m ;0,186;Rp2.200;Rp409,20;;;
;;;;JUMLAH HARGA BAHAN;;;Rp35.284,20;;;
;C;PERALATAN;;;;;;;;
;;;;JUMLAH HARGA ALAT;;;;;;
;D;Jumlah (A+B+C);;;;;Rp351.034,20;;;
;E;Overhead & Profit 9,5%;;;0,095;;Rp33.348,25;;;
PP10;F;Harga Satuan Pekerjaan (D+E);;;;;Rp384.382,45;10;;
;;;;;;;;;;
;Pembuatan 1 buah kotak adukan ukuran 40cm x50cm x25cm;;;;;;;;;
;No;Uraian;Kode;Satuan;Koefisien;Harga Satuan;Jumlah Harga;;;
;A;TENAGA;;;;;;;;
;;Tukang Kayu;L.02;OH;0,3;Rp98.000;Rp29.400,00;;;
;;Kepala Tukang;L.03;OH;0,03;Rp106.000;Rp3.180,00;;;
;;;;JUMLAH TENAGA KERJA;;;Rp32.580,00;;;
;B;BAHAN;;;;;;;;
;;Kayu papan kelas III;M.94; m3 ;0,036;Rp2.088.900;Rp75.200,40;;;
;;Kayu balok 5/7 kelas III;M.88; m3 ;0,021;Rp1.965.600;Rp41.277,60;;;
;;Paku biasa;M.200; Kg ;0,08;Rp18.000;Rp1.440,00;;;
;;;;JUMLAH HARGA BAHAN;;;Rp117.918,00;;;
;C;PERALATAN;;;;;;;;
;;;;JUMLAH HARGA ALAT;;;;;;
;D;Jumlah (A+B+C);;;;;Rp150.498,00;;;
;E;Overhead & Profit 9,5%;;;0,095;;Rp14.297,31;;;
PP11;F;Harga Satuan Pekerjaan (D+E);;;;;Rp164.795,31;11;;
;;;;;;;;;;
;Pembuatan 1 m2 jalan sementara;;;;;;;;;
;No;Uraian;Kode;Satuan;Koefisien;Harga Satuan;Jumlah Harga;;;
;A;TENAGA;;;;;;;;
