REKAP ANALISIS HARGA SATUAN PEKERJAAN (AHSP) BIDANG CIPTA KARYA;;;;;
;;;;;
;;;;;
;;;;;
HARGA SATUAN PEKERJAAN;;;;;
No;Kode;;Jenis Pekerjaan;Satuan;Harga
432;PPP18;A.8.4.1.18;(K3) Pemasangan 1 m pipa HDPE Ø 100 mm;m';Rp40.589
433;PPP19;A.8.4.1.19;(K3) Pemasangan 1 m pipa HDPE Ø 125 mm;m';Rp51.287
434;PPP20;A.8.4.1.20;(K3) Pemasangan 1 m pipa HDPE Ø 150 mm;m';Rp79.183
435;PPP21;A.8.4.1.21;(K3) Pemasangan 1 m pipa HDPE Ø 200 mm;m';Rp121.586
436;PPP22;A.8.4.1.22;(K3) Pemasangan 1 m pipa HDPE Ø 250 mm;m';Rp186.127
437;PPP23;A.8.4.1.23;(K3) Pemasangan 1 m pipa HDPE Ø 300 mm;m';Rp291.583
438;PPP24;A.8.4.1.24;(K3) Pemasangan 1 m pipa HDPE Ø 400 mm;m';Rp469.258
439;PPP25;A.8.4.1.25;(K3) Pemasangan 1 m pipa HDPE Ø 450 mm;m';Rp597.260
440;PPP26;A.8.4.1.26;(K3) Pemasangan 1 m pipa HDPE Ø 500 mm;m';Rp741.412
441;PPP27;A.8.4.1.27;(K3) Pemasangan 1 m pipa HDPE Ø 600 mm;m';Rp1.144.105
442;PPP28;A.8.4.1.28;(K3) Pemasangan 1 m pipa HDPE Ø 800 mm;m';Rp1.956.025
443;PPP29;A.8.4.1.29;(K3) Pemasangan 1 m pipa HDPE Ø 900 mm;m';Rp2.579.288
444;PPP30;A.8.4.1.30;(K3) Pemasangan 1 m pipa HDPE Ø 1000 mm;m';Rp3.147.592
445;PPP31;A.8.4.1.31;(K3) Pemasangan 1 m pipa HDPE Ø 1100 mm;m';Rp3.455.186
446;PPP32;A.8.4.1.32;(K3) Pemasangan 1 m pipa HDPE Ø 1200 mm;m';Rp3.939.536
447;PPP33;A.8.4.1.33;(K3) Pemasangan 1 m pipa GIP Ø 63 mm;m';Rp86.288
448;PPP34;A.8.4.1.34;(K3) Pemasangan 1 m pipa GIP Ø 100 mm;m';Rp99.346
449;PPP35;A.8.4.1.35;(K3) Pemasangan 1 m pipa GIP Ø 125 mm;m';Rp119.024
450;PPP36;A.8.4.1.36;(K3) Pemasangan 1 m pipa GIP Ø 150 mm;m';Rp150.797
451;PPP37;A.8.4.1.37;(K3) Pemasangan 1 m pipa GIP Ø 200 mm;m';Rp232.045
452;PPP38;A.8.4.1.38;(K3) Pemasangan 1 m pipa GIP Ø 250 mm;m';Rp310.053
453;PPP39;A.8.4.1.39;(K3) Pemasangan 1 m pipa GIP Ø 300 mm;m';Rp385.980
454;PPP40;A.8.4.1.40;(K3) Pemasangan 1 m pipa GIP Ø 400 mm;m';Rp592.427
455;PPP41;A.8.4.1.41;(K3) Pemasangan 1 m pipa GIP Ø 450 mm;m';Rp717.725
456;PPP42;A.8.4.1.42;(K3) Pemasangan 1 m pipa GIP Ø 500 mm;m';Rp833.106
457;PPP43;A.8.4.1.43;(K3) Pemasangan 1 m pipa GIP Ø 600 mm;m';Rp949.485
458;PPP44;A.8.4.1.44;(K3) Pemasangan 1 m pipa GIP Ø 800 mm;m';Rp1.354.894
459;PPP45;A.8.4.1.45;(K3) Pemasangan 1 m pipa GIP Ø 900 mm;m';Rp1.564.421
460;PPP46;A.8.4.1.46;(K3) Pemasangan 1 m pipa GIP Ø 1000 mm;m';Rp1.690.910
461;PPP47;A.8.4.1.47;(K3) Pemasangan 1 m pipa GIP Ø 1100 mm;m';Rp2.080.629
462;PPP48;A.8.4.1.48;(K3) Pemasangan 1 m pipa GIP Ø 1200 mm;m';Rp1.950.619
463;PPP49;A.8.4.1.49;(K3) Pemasangan 1 m pipa DCI Ø 100 mm;m';Rp145.512
464;PPP50;A.8.4.1.50;(K3) Pemasangan 1 m pipa DCI Ø 125 mm;m';Rp156.066
465;PPP51;A.8.4.1.51;(K3) Pemasangan 1 m pipa DCI Ø 150 mm;m';Rp197.978
466;PPP52;A.8.4.1.52;(K3) Pemasangan 1 m pipa DCI Ø 200 mm;m';Rp241.859
467;PPP53;A.8.4.1.53;(K3) Pemasangan 1 m pipa DCI Ø 250 mm;m';Rp216.633
468;PPP54;A.8.4.1.54;(K3) Pemasangan 1 m pipa DCI Ø 300 mm;m';Rp228.742
469;PPP55;A.8.4.1.55;(K3) Pemasangan 1 m pipa DCI Ø 400 mm;m';Rp371.995
470;PPP56;A.8.4.1.56;(K3) Pemasangan 1 m pipa DCI Ø 450 mm;m';Rp488.297
471;PPP57;A.8.4.1.57;(K3) Pemasangan 1 m pipa DCI Ø 500 mm;m';Rp680.198
472;PPP58;A.8.4.1.58;(K3) Pemasangan 1 m Pipa DCI Ø 600 mm;m';Rp797.631
473;PPP59;A.8.4.1.59;(K3) Pemasangan 1 m pipa DCI Ø800 mm;m';Rp1.212.652
474;PPP60;A.8.4.1.60;(K3) Pemasangan 1 m pipa DCI Ø900 mm;m';Rp1.537.173
475;PPP61;A.8.4.1.61;(K3) Pemasangan 1 m pipa DCI Ø1000 mm;m';Rp1.933.677
476;PPP62;A.8.4.1.62;(K3) Pemasangan 1 m pipa DCI Ø1100 mm;m';Rp2.336.478
477;PPP63;A.8.4.1.63;(K3) Pemasangan 1 m pipa DCI Ø1200 mm;m';Rp2.651.104
478;PPP64;A.8.4.1.64;(K3) Pemasangan 1 m pipa baja Ø 63 mm;m';Rp131.259
479;PPP65;A.8.4.1.65;(K3) Pemasangan 1 m pipa baja Ø 100 mm;m';Rp164.762
480;PPP66;A.8.4.1.66;(K3) Pemasangan 1 m pipa baja Ø 125 mm;m';Rp327.551
481;PPP67;A.8.4.1.67;(K3) Pemasangan 1 m pipa baja Ø 150 mm;m';Rp477.590
482;PPP68;A.8.4.1.68;(K3) Pemasangan 1 m pipa baja Ø 200 mm;m';Rp731.020
483;PPP69;A.8.4.1.69;(K3) Pemasangan 1 m' pipa baja Ø 250 mm;m';Rp1.069.456
484;PPP70;A.8.4.1.70;(K3) Pemasangan 1 m pipa baja Ø 300 mm;m';Rp1.519.963
485;PPP71;A.8.4.1.71;(K3) Pemasangan 1 m pipa baja Ø 400 mm;m';Rp2.681.238
486;PPP72;A.8.4.1.72;(K3) Pemasangan 1 m pipa baja Ø 450 mm;m';Rp3.231.328
487;PPP73;A.8.4.1.73;(K3) Pemasangan 1 m pipa baja Ø 500 mm;m';Rp3.928.875
488;PPP74;A.8.4.1.74;(K3) Pemasangan 1 m pipa baja Ø 600 mm;m';Rp5.072.600
489;PPP75;A.8.4.1.75;(K3) Pemasangan 1 m pipa baja Ø 800 mm;m';Rp7.135.005
490;PPP76;A.8.4.1.76;(K3) Pemasangan 1 m pipa baja Ø 900 mm;m';Rp8.347.197
491;PPP77;A.8.4.1.77;(K3) Pemasangan 1 m pipa baja Ø 1000 mm;m';Rp9.196.641
492;PPP78;A.8.4.1.78;(K3) Pemasangan 1 m pipa baja Ø 1100 mm;m';Rp10.509.032
493;PPP79;A.8.4.1.79;(K3) Pemasangan 1 m pipa baja Ø 1200 mm;m';Rp11.435.612
;;;;;
PTP;A.8.4.2;HARGA SATUAN PEKERJAAN PEMOTONGAN  PIPA;;;
494;PTP1;A.8.4.2.1;(K3) Pemotongan 1 buah pipa PVC Ø 63 mm;Buah;Rp7.826
495;PTP2;A.8.4.2.2;(K3) Pemotongan 1 buah pipa PVC Ø 90 mm;Buah;Rp9.668
496;PTP3;A.8.4.2.3;(K3) Pemotongan 1 buah pipa PVC Ø 110 mm;Buah;Rp11.252
497;PTP4;A.8.4.2.4;(K3) Pemotongan 1 buah pipa PVC Ø 150 mm;Buah;Rp14.143
498;PTP5;A.8.4.2.5;(K3) Pemotongan 1 buah pipa PVC Ø 200 mm;Buah;Rp26.038
499;PTP6;A.8.4.2.6;(K3) Pemotongan 1 buah pipa PVC Ø 250 mm;Buah;Rp39.114
500;PTP7;A.8.4.2.7;(K3) Pemotongan 1 buah pipa PVC Ø 300 mm;Buah;Rp49.419
501;PTP8;A.8.4.2.8;(K3) Pemotongan 1 buah pipa PVC Ø 400 mm;Buah;Rp88.965
502;PTP9;A.8.4.2.9;(K3) Pemotongan 1 buah pipa PVC Ø 450 mm;Buah;Rp109.120
503;PTP10;A.8.4.2.10;(K3) Pemotongan 1 buah pipa PVC Ø 500 mm;Buah;Rp138.498
504;PTP11;A.8.4.2.11;(K3) Pemotongan 1 buah pipa PVC Ø 600 mm;Buah;Rp165.538
505;PTP12;A.8.4.2.12;(K3) Pemotongan 1 buah pipa PVC Ø 800 mm;Buah;Rp267.309
506;PTP13;A.8.4.2.13;(K3) Pemotongan 1 buah pipa PVC Ø 900 mm;Buah;Rp285.618
507;PTP14;A.8.4.2.14;(K3) Pemotongan 1 buah pipa PVC Ø 1000 mm;Buah;Rp319.780
508;PTP15;A.8.4.2.15;(K3) Pemotongan 1 buah pipa PVC Ø 1100 mm;Buah;Rp368.646
509;PTP16;A.8.4.2.16;(K3) Pemotongan 1 buah pipa PVC Ø 1200 mm;Buah;Rp399.510
510;PTP17;A.8.4.2.17;(K3) Pemotongan 1 buah pipa HDPE Ø 63 mm;Buah;Rp23.714
511;PTP18;A.8.4.2.18;(K3) Pemotongan 1 buah pipa HDPE Ø 100 mm;Buah;Rp44.319
512;PTP19;A.8.4.2.19;(K3) Pemotongan 1 buah pipa HDPE Ø 125 mm;Buah;Rp58.689
513;PTP20;A.8.4.2.20;(K3) Pemotongan 1 buah pipa HDPE Ø 150 mm;Buah;Rp88.860
514;PTP21;A.8.4.2.21;(K3) Pemotongan 1 buah pipa HDPE Ø 200 mm;Buah;Rp135.518
515;PTP22;A.8.4.2.22;(K3) Pemotongan 1 buah pipa HDPE Ø 250 mm;Buah;Rp202.212
516;PTP23;A.8.4.2.23;(K3) Pemotongan 1 buah pipa HDPE Ø 300 mm;Buah;Rp308.924
517;PTP24;A.8.4.2.24;(K3) Pemotongan 1 buah pipa HDPE Ø 400 mm;Buah;Rp478.965
518;PTP25;A.8.4.2.25;(K3) Pemotongan 1 buah pipa HDPE Ø 450 mm;Buah;Rp601.542
519;PTP26;A.8.4.2.26;(K3) Pemotongan 1 buah pipa HDPE Ø 500 mm;Buah;Rp739.338
520;PTP27;A.8.4.2.27;(K3) Pemotongan 1 buah pipa HDPE Ø 600 mm;Buah;Rp1.142.881
521;PTP28;A.8.4.2.28;(K3) Pemotongan 1 buah pipa HDPE Ø 800 mm;Buah;Rp1.911.094
522;PTP29;A.8.4.2.29;(K3) Pemotongan 1 buah pipa HDPE Ø 900 mm;Buah;Rp2.457.257
523;PTP30;A.8.4.2.30;(K3) Pemotongan 1 buah pipa HDPE Ø 1000 mm;Buah;Rp3.013.760
524;PTP31;A.8.4.2.31;(K3) Pemotongan 1 buah pipa HDPE Ø 1100 mm;Buah;Rp3.272.371
525;PTP32;A.8.4.2.32;(K3) Pemotongan 1 buah pipa HDPE Ø 1200 mm;Buah;Rp3.660.604
526;PTP33;A.8.4.2.33;(K3) Pemotongan 1 buah pipa GIP Ø 63 mm;Buah;Rp27.586
527;PTP34;A.8.4.2.34;(K3) Pemotongan 1 buah pipa GIP Ø 100 mm;Buah;Rp37.805
528;PTP35;A.8.4.2.35;(K3) Pemotongan 1 buah pipa GIP Ø 125 mm;Buah;Rp56.184
529;PTP36;A.8.4.2.36;(K3) Pemotongan 1 buah pipa GIP Ø 150 mm;Buah;Rp84.250
530;PTP37;A.8.4.2.37;(K3) Pemotongan 1 buah pipa GIP Ø 200 mm;Buah;Rp152.998
531;PTP38;A.8.4.2.38;(K3) Pemotongan 1 buah pipa GIP Ø 250 mm;Buah;Rp228.897
532;PTP39;A.8.4.2.39;(K3) Pemotongan 1 buah pipa GIP Ø 300 mm;Buah;Rp307.244
533;PTP40;A.8.4.2.40;(K3) Pemotongan 1 buah pipa GIP Ø 400 mm;Buah;Rp511.724
534;PTP41;A.8.4.2.41;(K3) Pemotongan 1 buah pipa GIP Ø 450 mm;Buah;Rp629.564
535;PTP42;A.8.4.2.42;(K3) Pemotongan 1 buah pipa GIP Ø 500 mm;Buah;Rp738.247
536;PTP43;A.8.4.2.43;(K3) Pemotongan 1 buah pipa GIP Ø 600 mm;Buah;Rp866.529
537;PTP44;A.8.4.2.44;(K3) Pemotongan 1 buah pipa GIP Ø 800 mm;Buah;Rp1.220.935
538;PTP45;A.8.4.2.45;(K3) Pemotongan 1 buah pipa GIP Ø 900 mm;Buah;Rp1.414.854
539;PTP46;A.8.4.2.46;(K3) Pemotongan 1 buah pipa GIP Ø 1000 mm;Buah;Rp1.528.308
540;PTP47;A.8.4.2.47;(K3) Pemotongan 1 buah pipa GIP Ø 1100 mm;Buah;Rp1.903.892
541;PTP48;A.8.4.2.48;(K3) Pemotongan 1 buah pipa GIP Ø 1200 mm;Buah;Rp2.079.408
542;PTP49;A.8.4.2.49;(K3) Pemotongan 1 buah pipa DCI Ø 100 mm;Buah;Rp35.738
543;PTP50;A.8.4.2.50;(K3) Pemotongan 1 buah pipa DCI Ø 125 mm;Buah;Rp44.982
544;PTP51;A.8.4.2.51;(K3) Pemotongan 1 buah pipa DCI Ø 150 mm;Buah;Rp85.535
545;PTP52;A.8.4.2.52;(K3) Pemotongan 1 buah pipa DCI Ø 200 mm;Buah;Rp129.805
546;PTP53;A.8.4.2.53;(K3) Pemotongan 1 buah pipa DCI Ø 250 mm;Buah;Rp155.593
547;PTP54;A.8.4.2.54;(K3) Pemotongan 1 buah pipa DCI Ø 300 mm;Buah;Rp167.351
548;PTP55;A.8.4.2.55;(K3) Pemotongan 1 buah pipa DCI Ø 400 mm;Buah;Rp271.858
549;PTP56;A.8.4.2.56;(K3) Pemotongan 1 buah pipa DCI Ø 450 mm;Buah;Rp367.606
550;PTP57;A.8.4.2.57;(K3) Pemotongan 1 buah pipa DCI Ø 500 mm;Buah;Rp541.211
551;PTP58;A.8.4.2.58;(K3) Pemotongan 1 buah pipa DCI Ø 600 mm;Buah;Rp632.886
552;PTP59;A.8.4.2.59;(K3) Pemotongan 1 buah pipa DCI Ø 800 mm;Buah;Rp915.069
553;PTP60;A.8.4.2.60;(K3) Pemotongan 1 buah pipa DCI Ø 900 mm;Buah;Rp1.171.145
554;PTP61;A.8.4.2.61;(K3) Pemotongan 1 buah pipa DCI Ø 1000 mm;Buah;Rp1.472.235
555;PTP62;A.8.4.2.62;(K3) Pemotongan 1 buah pipa DCI Ø 1100 mm;Buah;Rp1.834.674
556;PTP63;A.8.4.2.63;(K3) Pemotongan 1 buah pipa DCI Ø 1200 mm;Buah;Rp2.073.172
557;PTP64;A.8.4.2.64;(K3) Pemotongan 1 buah pipa baja Ø 63 mm;Buah;Rp69.343
558;PTP65;A.8.4.2.65;(K3) Pemotongan 1 buah pipa baja Ø 100 mm;Buah;Rp99.797
559;PTP66;A.8.4.2.66;(K3) Pemotongan 1 buah pipa baja Ø 125 mm;Buah;Rp259.906
560;PTP67;A.8.4.2.67;(K3) Pemotongan 1 buah pipa baja Ø 150 mm;Buah;Rp408.888
561;PTP68;A.8.4.2.68;(K3) Pemotongan 1 buah pipa baja Ø 200 mm;Buah;Rp648.104
562;PTP69;A.8.4.2.69;(K3) Pemotongan 1 buah pipa baja Ø 250 mm;Buah;Rp983.600
563;PTP70;A.8.4.2.70;(K3) Pemotongan 1 buah pipa baja Ø 300 mm;Buah;Rp1.433.339
564;PTP71;A.8.4.2.71;(K3) Pemotongan 1 buah pipa baja Ø 400 mm;Buah;Rp2.547.600
565;PTP72;A.8.4.2.72;(K3) Pemotongan 1 buah pipa baja Ø 450 mm;Buah;Rp3.111.282
566;PTP73;A.8.4.2.73;(K3) Pemotongan 1 buah pipa baja Ø 500 mm;Buah;Rp3.801.021
567;PTP74;A.8.4.2.74;(K3) Pemotongan 1 buah pipa baja Ø 600 mm;Buah;Rp4.960.432
568;PTP75;A.8.4.2.75;(K3) Pemotongan 1 buah pipa baja Ø 800 mm;Buah;Rp6.943.330
569;PTP76;A.8.4.2.76;(K3) Pemotongan 1 buah pipa baja Ø 900 mm;Buah;Rp8.216.410
570;PTP77;A.8.4.2.77;(K3) Pemotongan 1 buah pipa baja Ø 1000 mm;Buah;Rp8.957.155
571;PTP78;A.8.4.2.78;(K3) Pemotongan 1 buah pipa baja Ø 1100 mm;Buah;Rp10.246.542
572;PTP79;A.8.4.2.79;(K3) Pemotongan 1 buah pipa baja Ø 1200 mm;Buah;Rp11.148.472
;;;;;
PAP;A.8.4.3;HARGA SATUAN PEKERJAAN PEMASANGAN  AKSESORIS PIPA;;;
573;PAP1;A.8.4.3.1;(K3) Pemasangan 1 buah Valve Ø 150 mm;Buah;Rp273.093
574;PAP2;A.8.4.3.2;(K3) Pemasangan 1 buah Valve Ø 200 mm;Buah;Rp361.404
575;PAP3;A.8.4.3.3;(K3) Pemasangan 1 buah Valve Ø 250 mm;Buah;Rp393.553
576;PAP4;A.8.4.3.4;(K3) Pemasangan 1 buah Valve Ø 300 mm;Buah;Rp472.821
577;PAP5;A.8.4.3.5;(K3) Pemasangan 1 buah Valve Ø 400 mm;Buah;Rp797.751
578;PAP6;A.8.4.3.6;(K3) Pemasangan 1 buah Valve Ø 450 mm;Buah;Rp822.498
579;PAP7;A.8.4.3.7;(K3) Pemasangan 1 buah Valve Ø 500 mm;Buah;Rp931.079
580;PAP8;A.8.4.3.8;(K3) Pemasangan 1 buah Valve Ø 600 mm;Buah;Rp1.081.053
581;PAP9;A.8.4.3.9;(K3) Pemasangan 1 buah Valve Ø 700 mm;Buah;Rp1.513.170
582;PAP10;A.8.4.3.10;(K3) Pemasangan 1 buah Valve Ø 800 mm;Buah;Rp1.638.373
583;PAP11;A.8.4.3.11;(K3) Pemasangan 1 buah Valve Ø 900 mm;Buah;Rp2.275.020
584;PAP12;A.8.4.3.12;(K3) Pemasangan 1 buah Valve Ø 1000 mm;Buah;Rp3.084.904
585;PAP13;A.8.4.3.13;(K3) Pemasangan 1 buah Valve Ø 1100 mm;Buah;Rp3.246.894
586;PAP14;A.8.4.3.14;(K3) Pemasangan 1 buah Valve Ø 1200 mm;Buah;Rp3.350.591
587;PAP15;A.8.4.3.15;(K3) Pemasangan 1 buah Tee Ø 150 mm;Buah;Rp39.063
588;PAP16;A.8.4.3.16;(K3) Pemasangan 1 buah Tee Ø 200 mm;Buah;Rp65.857
589;PAP17;A.8.4.3.17;(K3) Pemasangan 1 buah Tee Ø 250 mm;Buah;Rp88.444
590;PAP18;A.8.4.3.18;(K3) Pemasangan 1 buah Tee Ø 300 mm;Buah;Rp180.890
591;PAP19;A.8.4.3.19;(K3) Pemasangan 1 buah Tee Ø 400 mm;Buah;Rp233.211
592;PAP20;A.8.4.3.20;(K3) Pemasangan 1 buah Tee Ø 450 mm;Buah;Rp271.800
593;PAP21;A.8.4.3.21;(K3) Pemasangan 1 buah Tee Ø 500 mm;Buah;Rp318.448
594;PAP22;A.8.4.3.22;(K3) Pemasangan 1 buah Tee Ø 600 mm;Buah;Rp497.924
595;PAP23;A.8.4.3.23;(K3) Pemasangan 1 buah Tee Ø 700 mm;Buah;Rp583.718
596;PAP24;A.8.4.3.24;(K3) Pemasangan 1 buah Tee Ø 800 mm;Buah;Rp672.221
597;PAP25;A.8.4.3.25;(K3) Pemasangan 1 buah Tee Ø 900 mm;Buah;Rp820.557
598;PAP26;A.8.4.3.26;(K3) Pemasangan 1 buah Tee Ø 1000 mm;Buah;Rp971.838
599;PAP27;A.8.4.3.27;(K3) Pemasangan 1 buah Tee Ø 1100 mm;Buah;Rp1.067.455
600;PAP28;A.8.4.3.28;(K3) Pemasangan 1 buah Tee Ø 1200 mm;Buah;Rp1.233.202
;;;;;
PSB;A.8.4.4;HARGA SATUAN PEKERJAAN PENYAMBUNGAN PIPA BARU KE PIPA LAMA;;;
601;PSB1;A.8.4.4.1;(K3) Penyambungan  1 buah pipa baru ke pipa yang ada Ø 80 mm;Buah;Rp530.108
602;PSB2;A.8.4.4.2;(K3) Penyambungan  1 buah pipa baru ke pipa yang ada Ø 100 mm;Buah;Rp640.540
603;PSB3;A.8.4.4.3;(K3) Penyambungan  1 buah pipa baru ke pipa yang ada Ø 150 mm;Buah;Rp958.448
604;PSB4;A.8.4.4.4;(K3) Penyambungan  1 buah pipa baru ke pipa yang ada Ø 200 mm;Buah;Rp1.276.576
605;PSB5;A.8.4.4.5;(K3) Penyambungan  1 buah pipa baru ke pipa yang ada Ø 250 mm;Buah;Rp1.712.197
606;PSB6;A.8.4.4.6;(K3) Penyambungan  1 buah pipa baru ke pipa yang ada Ø 300 mm;Buah;Rp2.280.532
607;PSB7;A.8.4.4.7;(K3) Penyambungan  1 buah pipa baru ke pipa yang ada Ø 400 mm;Buah;Rp3.493.524
608;PSB8;A.8.4.4.8;(K3) Penyambungan  1 buah pipa baru ke pipa yang ada Ø 450 mm;Buah;Rp4.175.520
609;PSB9;A.8.4.4.9;(K3) Penyambungan  1 buah pipa baru ke pipa yang ada Ø 500 mm;Buah;Rp4.890.366
610;PSB10;A.8.4.4.10;(K3) Penyambungan  1 buah pipa baru ke pipa yang ada Ø 600 mm;Buah;Rp6.044.994
611;PSB11;A.8.4.4.11;(K3) Penyambungan  1 buah pipa baru ke pipa yang ada Ø 700 mm;Buah;Rp6.823.271
612;PSB12;A.8.4.4.12;(K3) Penyambungan  1 buah pipa baru ke pipa yang ada Ø 800 mm;Buah;Rp8.065.499
;;;;;
PTS;A.8.4.5;HARGA SATUAN PEKERJAAN PENGETESAN  PIPA;;;
613;PTS1;A.8.4.5.1;(K3) Pengetesan 1 m pipa Ø 50 mm;m';Rp1.404
614;PTS2;A.8.4.5.2;(K3) Pengetesan 1 m pipa Ø 75 mm;m';Rp1.408
615;PTS3;A.8.4.5.3;(K3) Pengetesan 1 m pipa Ø 100 mm;m';Rp1.416
616;PTS4;A.8.4.5.4;(K3) Pengetesan 1 m pipa Ø 150 mm;m';Rp1.434
617;PTS5;A.8.4.5.5;(K3) Pengetesan 1 m pipa Ø 200 mm;m';Rp1.458
618;PTS6;A.8.4.5.6;(K3) Pengetesan 1 m pipa Ø 250 mm;m';Rp1.492
619;PTS7;A.8.4.5.7;(K3) Pengetesan 1 m pipa Ø 300 mm;m';Rp1.533
620;PTS8;A.8.4.5.8;(K3) Pengetesan 1 m pipa Ø 400 mm;m';Rp1.635
621;PTS9;A.8.4.5.9;(K3) Pengetesan 1 m pipa Ø 500 mm;m';Rp1.695
622;PTS10;A.8.4.5.10;(K3) Pengetesan 1 m pipa Ø 600 mm;m';Rp1.928
;;;;;
PKL;A.8.4.6;HARGA SATUAN PEKERJAAN ELEKTRIKAL;;;
623;PKL1;A.8.4.6.1;(K3) Pemasangan 1 buah titik lampu;titik;Rp352.498
624;PKL2;A.8.4.6.2;Memasang 1 Titik Instalasi Penerangan;titik;Rp282.110
625;PKL3;A.8.4.6.3;Memasang 1 Titik Instalasi Lampu TL;titik;Rp342.244
626;PKL4;A.8.4.6.4;Memasang 1 Titik Instalasi Lampu SL;titik;Rp305.890
627;PKL5;A.8.4.6.5;Memasang 1 Titik Instalasi Lampu XL;titik;Rp329.761
628;PKL6;A.8.4.6.6;Memasang 1 Titik Instalasi Lampu Downlight;titik;Rp277.639
629;PKL7;A.8.4.6.7;Memasang AC Ukuran 0.5 PK s/d 1 PK;unit;Rp4.962.433
630;PKL8;A.8.4.6.7;Memasang AC Ukuran 1.5 PK s/d 2 PK;unit;Rp6.073.529
631;PKL9;A.8.4.6.8;Memasang 1 titik Instalasi Sekakelar / Stop Kontak;titik;Rp205.972
632;PKL10;A.8.4.6.9;Memasang 1 titik MCB;titik;Rp128.921
633;PKL11;A.8.4.6.10;Memasang Lampu TL;unit;Rp158.775
634;PKL12;A.8.4.6.11;Memasang Lampu TL 2x ;unit;Rp241.557
635;PKL13;A.8.4.6.12;Memasang Lampu SL;unit;Rp78.950
636;PKL14;A.8.4.6.13;Memasang Lampu Downlight;unit;Rp124.064
637;PKL15;A.8.4.6.14;Memasang LED Strip;m';Rp51.158
638;PKL16;A.8.4.6.15;Memasang 1 Exhaust Fan;unit;Rp370.220
639;PKL17;A.8.4.6.16;Memasang 1m Kabel Tray;m';Rp217.697
640;;;;;
641;;;;;
642;;;;;
643;;;;;
644;;;;;
