REKAP ANALISIS HARGA SATUAN PEKERJAAN (AHSP) BIDANG CIPTA KARYA;;;;;
;;;;;
;;;;;
;;;;;
HARGA SATUAN PEKERJAAN;;;;;
No;Kode;;Jenis Pekerjaan;Satuan;Harga
148;PPD23;A.4.4.1.23;Pemasangan 1 m2 dinding terawang (rooster) 12x11x24 campuran 1SP :4PP;m2;Rp353.426
149;PPD24;A.4.4.1.24;Pemasangan 1 m2 dinding bata berongga ekspose 12x11x24 campuran 1 SP : 3 PP;m2;Rp656.507
150;PPD25;A.4.4.1.25;Pemasangan 1 m2 dinding bata ringan tebal 7,5 cm dengan mortar siap pakai B.;m2;Rp134.804
151;PPD26;A.4.4.1.26;Pemasangan 1 m2 dinding bata ringan tebal 10 cm dengan mortar siap pakai;m2;Rp159.904
;;;;;
PPT;A.4.4.2;HARGA SATUAN PEKERJAAN PLESTERAN;;;
152;PPT1;A.4.4.2.1.;Pemasangan 1 m2 plesteran 1SP : 1PP tebal 15 mm.;m2;Rp73.729
153;PPT2;A.4.4.2.2.;Pemasangan 1 m2 plesteran 1SP : 2PP tebal 15 mm.;m2;Rp67.076
154;PPT3;A.4.4.2.3.;Pemasangan 1 m2 plesteran 1SP : 3PP tebal 15mm.;m2;Rp64.156
155;PPT4;A.4.4.2.4.;Pemasangan 1 m2 plesteran 1SP : 4PP tebal 15 mm;m2;Rp62.198
156;PPT5;A.4.4.2.5.;Pemasangan 1 m2 plesteran 1SP : 5PP tebal 15 mm;m2;Rp61.039
157;PPT6;A.4.4.2.6.;Pemasangan 1 m2 plesteran 1SP : 6PP tebal 15 mm.;m2;Rp60.132
158;PPT7;A.4.4.2.7.;Pemasangan 1 m2 plesteran 1SP : 7PP tebal 15 mm;m2;Rp59.618
159;PPT8;A.4.4.2.8.;Pemasangan 1 m2 plesteran 1SP : 8PP tebal 15 mm;m2;Rp59.105
160;PPT9;A.4.4.2.9.;Pemasangan 1 m2 plesteran 1SP : 1/2KP : 3PP tebal 15 mm;m2;Rp63.236
161;PPT10;A.4.4.2.10.;Pemasangan 1 m2 plesteran 1SP : 2KP : 8PP tebal 15 mm;m2;Rp60.708
162;PPT11;A.4.4.2.11.;Pemasangan 1 m2 plesteran 1SM : 1KP : 1PP tebal 15 mm;m2;Rp55.525
163;PPT12;A.4.4.2.12.;Pemasangan 1 m2 plesteran 1SM : 1KP : 2PP tebal 15 mm;m2;Rp56.138
164;PPT13;A.4.4.2.13.;Pemasangan 1 m2 plesteran 1SP : 1PP tebal 20 mm;m2;Rp89.726
165;PPT14;A.4.4.2.14.;Pemasangan 1 m2 plesteran 1SP : 3PP tebal 20 mm;m2;Rp70.482
166;PPT15;A.4.4.2.15.;Pemasangan 1 m2 plesteran 1SP : 4PP tebal 20 mm.;m2;Rp83.173
167;PPT16;A.4.4.2.16.;Pemasangan 1 m2 plesteran 1SP : 5PP tebal 20 mm;m2;Rp81.677
168;PPT17;A.4.4.2.17.;Pemasangan 1 m2 plesteran 1SP : 6PP tebal 20 mm;m2;Rp80.419
169;PPT18;A.4.4.2.18.;Pemasangan 1 m2 plesteran 1SM : 1KP : 2PP tebal 20 mm;m2;Rp77.341
170;PPT19;A.4.4.2.19.;Pemasangan 1 m2 berapen 1SP : 5PP tebal 15 mm;m2;Rp36.052
171;PPT20;A.4.4.2.20.;Pemasangan 1 m’ plesteran skoning 1SP : 3PP lebar 10 cm;m';Rp58.750
172;PPT21;A.4.4.2.21.;Pemasangan 1 m2 plesteran granit 1SP : 2 granit tebal 1cm;m2;Rp202.456
173;PPT22;A.4.4.2.22.;Pemasangan 1 m2 plesteran traso 1SP : 2 traso tebal 1cm;m2;Rp222.166
174;PPT23;A.4.4.2.23.;Pemasangan 1 m2 plesteran ciprat 1SP : 2PP;m2;Rp51.040
175;PPT24;A.4.4.2.24;Pemasangan 1 m2 finishing siar pasangan bata merah;m2;Rp29.478
176;PPT25;A.4.4.2.25.;Pemasangan 1 m2 finishing siar pasangan conblock ekspose;m2;Rp14.025
177;PPT26;A.4.4.2.26.;Pemasangan 1 m2 finishing siar pasangan batu kali, campuran 1SP : 2PP.;m2;Rp55.353
178;PPT27;A.4.4.2.27.;Pemasangan 1 m2 acian.;m2;Rp37.923
179;PPT28;A.4.4.2.28.;Pemasangan 1 m2 plesteran dengan mortar siap pakai (MSP);m2;Rp83.499
180;PPT29;A.4.4.2.29.;Pemasangan 1 m2 Acian dengan mortar siap pakai (MSP);m2;Rp40.964
181;PPT30;A.4.4.2.30;Pemasangan 1 M' Plesteran Skoning/Benangan 1 Pc : 2 Psr;m';Rp58.750
182;PPT31;A.4.4.2.31.;Pemasangan 1 m2 Benangan;m2;Rp14.394
;;;;;
PPL;A.4.4.3;HARGA SATUAN PEKERJAAN PENUTUP LANTAI DAN PENUTUP DINDING;;;
181;PPL1;A.4.4.3.1.;Pemasangan 1 m2 lantai ubin PC abu-abu ukuran 40cm x40cm;m2;Rp164.199
182;PPL2;A.4.4.3.2.;Pemasangan 1 m2 lantai ubin PC abu-abu ukuran 30cm x30 cm;m2;Rp175.189
